Location,Loc_code,Site,Site_code,Transect,Percent_Hard_coral,Percent_Reef_substrate,Percent_Soft_corals,Percent_Acropora,Percent_Poritdae,Percent_Montipora,Percent_Pocilloporidae,Percent_Favidae,Percent_Other_hard_corals,Percent_Other,Number_spp,Shannon_Weiner_H_prime,J_prime,C_aureofasciatus,C_baronessa,C_bennetti,C_lunulatus,C_melannotus,C_ornatissimus,C_plebius,C_rainfordi,C_reticulatus,C_trifascialis,C_unimaculatus,C_auriga,C_citrinellus,C_ephippium,C_flavirostris,C_kleinii,C_lineolatus,C_lunula,C_oxycephalus,C_pelewensis,C_quadrimaculatus,C_rafflesi,C_speculum,C_ulientensis,C_vagabundus,C_semion,Number_spp_present,Shannon ,Shannon_J_prime,Total_focal_spp,Total_other_spp,Total,Number_spp_OC_present,Number_spp_FC_present,Total_abundance,Total_OC_abundance,Total_FC_abundance,Coral_cov_by_corallivore_tot_abund,Coral_cov_by_OC_abun
NC,4,Ile Nou,3,3,46.5,51,1,16,15.5,4,2,0.5,8.5,1.5,21,1.64775807,0.266204325,0,0,3,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0.106373027,10,6,16,3,1,16,13,3,2.9,3.6
NC,4,Ile Nou,3,4,19.5,79.5,0,8.5,9.5,1.5,0,0,0,1,11,0.715068691,0.115523257,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.257542476,0.054791145,1,9,10,2,1,10,9,1,2,2.2
NC,4,Ile Nou,3,5,20.5,69.5,7,4,14.5,0.5,1,0,0.5,3,11,0.672843232,0.108701503,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,5,6,2,1,6,5,1,3.4,4.1
NC,4,Ilot Maitre,4,1,48,48.5,0.5,34,0.5,7.5,4.5,1,0.5,3,14,1.519876391,0.245544341,0,0,0,3,1,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,6,10,16,4,2,16,11,5,3,4.4
NC,4,Ilot Maitre,4,2,55.5,44.5,0,46.5,0,4.5,3.5,1,0,0,15,1.822426042,0.294422891,0,0,0,0,3,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0.5,0.106373027,3,9,12,3,2,12,9,3,4.6,6.2
NC,4,Ilot Maitre,4,3,79.5,18,0,78,0,0,1.5,0,0,2.5,16,2.368360247,0.382621547,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0.442179356,0.094071913,1,4,5,1,2,5,2,3,15.9,39.8
NC,4,Ilot Maitre,4,4,41.5,58.5,0,36,0.5,3.5,1,0.5,0,0,15,1.497141151,0.241871339,0,0,0,0,4,0,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,6,0.5,0.106373027,2,20,22,3,3,22,16,6,1.9,2.6
NC,4,Ilot Maitre,4,5,72,28,0,57,0.5,7.5,6,0.5,0.5,0,19,2.517016058,0.406637706,0,0,0,0,0,0,9,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,1.872210562,0.398305409,3,13,16,1,3,16,9,7,4.5,8
NC,4,Ilot Nge,5,1,54.5,45,0.5,36,0.5,2.5,8.5,0,7,0,18,2.023284317,0.326872644,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.549161362,0.329577966,2,0,2,1,1,2,1,1,27.3,54.5
NC,4,Ilot Nge,5,2,37,60.5,2.5,20.5,0.5,3.5,4,4.5,4,0,18,1.696226338,0.274034639,0,0,0,0,2,0,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.855147359,0.394675279,7,3,10,2,3,10,5,5,3.7,7.4
NC,4,Ilot Nge,5,3,31,68,1,20.5,0,3,5,0.5,2,0,18,1.35350609,0.218666309,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.528320834,0.112398172,1,6,7,3,0,7,7,0,4.4,4.4
NC,4,Ilot Nge,5,4,45,47.5,6.5,30,0,2.5,8,0.5,4,1,22,1.756152821,0.28371609,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.389975,0.082965642,3,1,4,2,1,4,3,1,11.3,15
NC,4,Ilot Nge,5,5,35.5,64,0.5,22.5,0,1,8.5,2,1.5,0,17,1.585708607,0.256179895,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.884014179,0.400816581,3,1,4,3,0,4,4,0,8.9,8.9
NC,4,Recif du Prony,6,1,17,83,0,5.5,0,7.5,0.5,0,3.5,0,9,0.776980095,0.125525383,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.212746054,2,2,4,2,0,4,4,0,4.3,4.3
NC,4,Recif du Prony,6,2,25.5,74.5,0,21.5,0,1,0.5,0,2.5,0,8,0.8043626,0.129949176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,25.5,25.5
NC,4,Recif du Prony,6,3,51.5,48.5,0,48.5,0,0.5,0,0,2.5,0,7,1.487014345,0.240235298,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.389975,0.082965642,2,1,3,0,2,3,0,3,17.2,NA
NC,4,Recif du Prony,6,4,54.5,45.5,0,53,0,1.5,0,0,0,0,6,1.515047745,0.244764247,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.389975,0.082965642,2,1,3,1,1,3,2,1,18.2,27.3
NC,4,Recif du Prony,6,5,57,43,0,54,0,2.5,0.5,0,0,0,11,1.575766208,0.254573646,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,2,2,0,28.5,28.5
NC,4,Recif Senez,7,1,96,4,0,95.5,0,0.5,0,0,0,0,8,1.442741408,0.233082763,0,0,0,7,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,1,14,3,0,14,14,0,6.9,6.9
NC,4,Recif Senez,7,2,92,8,0,90,1,0,1,0,0,0,11,1.066838217,0.172353547,0,0,0,7,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.506564975,0.320515753,11,2,13,3,0,13,13,0,7.1,7.1
NC,4,Recif Senez,7,3,78,22,0,75,0,2.5,0.5,0,0,0,13,1.800974145,0.29095722,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1.047764933,0.222907854,2,3,5,3,1,5,4,1,15.6,19.5
NC,4,Recif Senez,7,4,48.5,37.5,0,47.5,0,1,0,0,0,14,8,1.547893637,0.25007068,0,0,0,2,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.106373027,15,1,16,3,0,16,16,0,3,3
NC,4,Recif Senez,7,5,83,17,0,81,0,1.5,0.5,0,0,0,11,1.661104519,0.268360517,0,2,0,0,0,0,1,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0.106373027,15,3,18,3,1,18,15,3,4.6,5.5
NC,4,Seche Croissant,8,1,70,27,0,53.5,0,14,0.5,0,2,3,19,2.478781106,0.40046064,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1.852217001,0.394051857,8,4,12,3,1,12,10,2,5.8,7
NC,4,Seche Croissant,8,2,54,44.5,0,41,0.5,12,0,0,0.5,1.5,17,1.959620698,0.316587438,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.889975,0.402084723,1,0,1,1,0,1,1,0,54,54
NC,4,Seche Croissant,8,3,55.5,43.5,0,46,0,8.5,0,0,1,1,9,1.658510002,0.267941359,0,0,1,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.057542476,0.224987988,5,3,8,4,0,8,8,0,6.9,6.9
NC,4,Seche Croissant,8,4,57.5,35.5,0,38,0,19.5,0,0,0,7,14,2.075554681,0.335317207,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1.39433877,0.296640071,2,2,4,2,1,4,3,1,14.4,19.2
NC,4,Seche Croissant,8,5,58.5,38.5,0.5,41.5,0,17,0,0,0,2.5,14,2.390578322,0.386210998,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.372556249,0.292005925,1,5,6,2,1,6,5,1,9.8,11.7
NC,4,Vallon Dore,9,1,55,45,0,24,2,25.5,1,1,1.5,0,17,1.850950807,0.299031223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,2,3,1,2,3,1,2,18.3,55
NC,4,Vallon Dore,9,2,43,56,0.5,17.5,0.5,23.5,1,0.5,0,0.5,15,1.640787337,0.265078165,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.446616668,0.307761987,1,3,4,1,2,4,2,2,10.8,21.5
NC,4,Vallon Dore,9,3,49,50,1,18,1.5,26,1,1,1.5,0,16,1.892013049,0.305665052,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1.880240815,0.400013813,0,5,5,2,1,5,4,1,9.8,12.3
NC,4,Vallon Dore,9,4,31.5,68.5,0,17,1.5,12.5,0,0,0.5,0,13,1.357612466,0.219329717,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.963269035,0.204931686,1,3,4,1,2,4,2,2,7.9,15.8
NC,4,Vallon Dore,9,5,60,39.5,0,17.5,10,28.5,2,1,1,0.5,19,2.129125985,0.343971944,0,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0.389975,0.082965642,2,9,11,4,1,11,9,2,5.5,6.7
FP,5,Cooks Bay Passe,1,1,0.5,96,0,0,0,0.5,0,0,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,2.199965027,0.468033877,3,4,7,0,3,7,0,7,0.1,NA
FP,5,Cooks Bay Passe,1,2,3,92,0,0,0,0,3,0,0,5,2,0.1,0.029269294,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.223308334,0.473000074,1,0,1,0,1,1,0,1,3,NA
FP,5,Cooks Bay Passe,1,3,3,95,0,0,1.5,0,1.5,0,0,2,3,0.6,0.12863813,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.128085279,0.452741745,3,2,5,1,1,5,2,3,0.6,1.5
FP,5,Cooks Bay Passe,1,4,1.5,97.5,0,0,0,0,1.5,0,0,1,1,0.1,0.019335086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2.202819531,0.468641162,0,2,2,0,1,2,0,2,0.8,NA
FP,5,Cooks Bay Passe,1,5,25.5,69,0,0,25,0.5,0,0,0,5.5,2,0.2,0.033999539,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,0,3,0,0,0,0,1,0,5,1.910051892,0.406356002,1,15,16,1,4,16,2,14,1.6,12.8
FP,5,Motu Ahi,2,1,34,66,0,0,17.5,16.5,0,0,0,0,2,1,0.222692026,0,0,0,4,0,2,0,0,2,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.872180556,0.185552971,8,9,17,4,2,17,12,5,2,2.8
FP,5,Motu Ahi,2,2,25.5,74.5,0,0,13.5,11,1,0,0,0,4,1,0.21221597,0,0,0,3,0,2,0,0,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1.538847223,0.327383674,5,7,12,4,2,12,8,4,2.1,3.2
FP,5,Motu Ahi,2,3,26.5,73.5,0,0,9,13.5,2.5,0.5,1,0,6,1.2,0.259880665,0,0,0,2,0,0,0,0,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,5,1.365087679,0.290417017,10,4,14,2,3,14,4,10,1.9,6.6
FP,5,Motu Ahi,2,4,43,57,0,0,22,19.5,0.5,0,1,0,4,1,0.214216233,0,0,0,4,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,3,0,0,0,0,2,0,6,1.914246535,0.407248396,11,5,16,3,3,16,7,9,2.7,6.1
FP,5,Motu Ahi,2,5,24,76,0,0.5,11.5,9.5,2.5,0,0,0,6,0.8,0.173244257,0,0,0,3,0,2,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.061278124,0.225782733,8,6,14,3,2,14,9,5,1.7,2.7
FP,5,Rudys,3,1,47.5,43.5,0,0,45.5,0,1,0,1,9,3,0.6,0.138239222,0,0,0,4,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1.530639062,0.32563742,13,4,17,3,2,17,6,11,2.8,7.9
FP,5,Rudys,3,2,49,31.5,0,0,48,0,0,0,1,19.5,4,0.6,0.123051086,0,0,0,6,0,2,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,7,2.155462691,0.458566181,10,6,16,3,4,16,9,7,3.1,5.4
FP,5,Rudys,3,3,30,55,0,0,29,0,0,0,1,15,4,0.8,0.177691294,0,0,0,5,0,4,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1.028320834,0.218771199,15,6,21,3,2,21,11,10,1.4,2.7
FP,5,Rudys,3,4,46,33,0,0,45,0,1,0,0,21,3,0.7,0.139141011,0,0,0,2,0,2,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1.056641667,0.224796345,6,4,10,3,2,10,5,5,4.6,9.2
FP,5,Rudys,3,5,20.5,69.5,0,0,20.5,0,0,0,0,10,3,0.6,0.124744431,0,0,0,8,0,4,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1.468861263,0.312494437,16,6,22,3,2,22,13,9,0.9,1.6
FP,5,Temea inner crest,4,1,28,72,0,0.5,21.5,3.5,2.5,0,0,0,5,0.6,0.12424561,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1.494918848,0.318038085,7,1,8,3,1,8,6,2,3.5,4.7
FP,5,Temea inner crest,4,2,21,79,0,0,18,1.5,1.5,0,0,0,3,0.8,0.172498432,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.549161362,0.329577966,9,0,9,1,1,9,2,7,2.3,10.5
FP,5,Temea inner crest,4,3,18,82,0,0,14,3,0.5,0.5,0,0,6,0.8,0.174162104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.251629167,0.479025219,3,0,3,0,2,3,0,3,6,NA
FP,5,Temea inner crest,4,4,32.5,67.5,0,0.5,21.5,6.5,3,0.5,0.5,0,7,0.9,0.20066629,0,0,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1.812446222,0.385590781,7,2,9,3,2,9,5,4,3.6,6.5
FP,5,Temea inner crest,4,5,32,68,0,1.5,19,5,4,0,2.5,0,9,0.9,0.189753219,0,0,0,2,0,2,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.780639062,0.378823933,10,4,14,4,1,14,8,6,2.3,4
FP,5,Temea lagoon,5,1,37.5,62.5,0,9,17,10.5,1,0,0,0,6,1.5,0.310150855,0,0,0,6,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.01472727,0.428625276,9,5,14,3,1,14,12,2,2.7,3.1
FP,5,Temea lagoon,5,2,35,65,0,4.5,17,13,0.5,0,0,0,5,1.5,0.318503999,0,0,0,6,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.965498735,0.418152099,12,0,12,2,2,12,8,4,2.9,4.4
FP,5,Temea lagoon,5,3,31,69,0,2,11.5,15,1,0,1.5,0,8,0.8,0.175192192,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,6,2.385709125,0.507550201,7,4,11,2,4,11,3,8,2.8,10.3
FP,5,Temea lagoon,5,4,43.5,56.5,0,6,27.5,9,1,0,0,0,6,1.2,0.264907558,0,0,0,10,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,0,0,2,1,0,7,3.378928032,0.718853604,16,5,21,3,4,21,13,8,2.1,3.3
FP,5,Temea lagoon,5,5,40,60,0,5,27.5,7.5,0,0,0,0,5,1.2,0.246430433,0,0,0,4,0,2,0,0,0,2,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2.699019984,0.57420585,12,6,18,4,2,18,10,8,2.2,4
FP,5,Tiahura flat zone 1,6,1,53,43.5,0,1,41.5,5.5,4.5,0,0.5,3.5,6,1.1,0.232418657,0,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.444532654,0.307318621,8,1,9,2,1,9,7,2,5.9,7.6
FP,5,Tiahura flat zone 1,6,2,31,68,0,0,20.5,9.5,1,0,0,1,4,1.1,0.225173075,0,0,0,2,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.733458593,0.368786475,5,4,9,3,1,9,6,3,3.4,5.2
FP,5,Tiahura flat zone 1,6,3,51,49,0,17,26,5,2,0,1,0,6,1.3,0.281015266,0,0,0,2,0,3,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,6,2.125191686,0.452126144,11,4,15,3,3,15,6,9,3.4,8.5
FP,5,Tiahura flat zone 1,6,4,29,69.5,0,4,18.5,3.5,1,0,2,1.5,6,0.9,0.187432493,0,0,0,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1.457542476,0.31008641,7,3,10,3,2,10,5,5,2.9,5.8
FP,5,Tiahura flat zone 1,6,5,23,74,0,6,6,8.5,1.5,0,1,3,7,0.9,0.200033218,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1.508574199,0.320943207,6,2,8,1,3,8,1,7,2.9,23
FP,5,Tiahura inner crest zone 3,7,1,17.5,82.5,0,0,16,0,1.5,0,0,0,5,0.6,0.129993508,0,0,0,0,0,2,0,0,2,1,2,1,0,1,0,0,0,2,0,0,0,0,0,3,1,0,9,1,0.212746054,3,12,15,4,5,15,7,8,1.2,2.5
FP,5,Tiahura inner crest zone 3,7,2,22,78,0,0,17,1.5,3.5,0,0,0,5,0.9,0.187447628,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,17,0,0,0,0,0,3,2,0,6,0.764204507,0.162581493,4,26,30,2,4,30,6,24,0.7,3.7
FP,5,Tiahura inner crest zone 3,7,3,13,87,0,0,8,0,5,0,0,0,5,0.6,0.117572301,0,0,0,2,0,3,0,0,0,2,1,2,2,0,0,0,0,4,0,1,0,0,0,0,0,0,8,0.389975,0.082965642,8,9,17,4,4,17,8,9,0.8,1.6
FP,5,Tiahura inner crest zone 3,7,4,7,93,0,0,6.5,0,0.5,0,0,0,4,0.2,0.04896209,0,0,0,2,0,3,0,0,2,4,3,2,5,2,0,0,0,3,0,0,0,0,0,4,2,0,11,1.928822224,0.410349316,15,17,32,5,6,32,14,18,0.2,0.5
FP,5,Tiahura inner crest zone 3,7,5,32,68,0,0,31,0.5,0.5,0,0,0,4,0.6,0.134196154,0,0,0,2,0,0,0,0,2,0,5,0,5,2,0,0,0,0,0,0,0,0,0,3,3,0,7,2.128085279,0.452741745,10,12,22,3,4,22,9,13,1.5,3.6
FP,5,Viapahu flat zone 1,8,1,20.5,78,0,0.5,19,0,1,0,0,1.5,6,0.6,0.136906249,0,0,0,2,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.455442751,0.309639701,5,3,8,3,1,8,5,3,2.6,4.1
FP,5,Viapahu flat zone 1,8,2,25,75,0,0.5,22,2,0.5,0,0,0,7,0.8,0.162100849,0,0,0,2,0,2,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1.430827083,0.304402815,10,5,15,4,2,15,7,8,1.7,3.6
FP,5,Viapahu flat zone 1,8,3,10,90,0,0,9,0,1,0,0,0,4,0.4,0.076151824,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.235846926,0.47566761,3,3,6,2,1,6,5,1,1.7,2
FP,5,Viapahu flat zone 1,8,4,33,66.5,0,0,29.5,0.5,3,0,0,0.5,7,1.2,0.250224773,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.611544412,0.342849714,3,3,6,2,2,6,3,3,5.5,11
FP,5,Viapahu flat zone 1,8,5,20.5,79.5,0,0,19.5,0,1,0,0,0,4,0.6,0.126253749,0,0,0,0,0,2,0,0,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.419381946,0.514713961,5,8,13,4,1,13,9,4,1.6,2.3
FP,5,Viapahu inner crest zone 3,9,1,13.5,86,0,0.5,11.5,0,1.5,0,0,0.5,5,0.5,0.112164953,0,0,0,0,0,4,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.556656707,0.331172571,5,6,11,3,2,11,6,5,1.2,2.3
FP,5,Viapahu inner crest zone 3,9,2,12.5,86.5,0,0,11,1,0.5,0,0,1,5,0.9,0.18544689,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,5,7,4,1,7,7,0,1.8,1.8
FP,5,Viapahu inner crest zone 3,9,3,11.5,84,0,0,11,0,0.5,0,0,4.5,3,0.4,0.095639981,0,0,0,0,0,2,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0.970950594,0.206565907,6,6,12,3,2,12,6,6,1,1.9
FP,5,Viapahu inner crest zone 3,9,4,11.5,85,0,0,9.5,0,2,0,0,3.5,4,0.9,0.185025084,0,0,0,4,0,0,0,0,2,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,11,4,15,4,3,15,7,8,0.8,1.6
FP,5,Viapahu inner crest zone 3,9,5,14.5,83.5,0,1,7,0.5,6,0,0,2,7,0.6,0.12757053,0,0,0,3,0,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.294736718,0.275450127,11,5,16,3,2,16,8,8,0.9,1.8